Nome,Email,Nº Matrícula
José Carlos da Silva,jose.carlos@gmail.com,56142378
Ana Maria de Souza Figueira,a.namaria@gmail.com,13245692
Roberto Gonçalves Fortuna,goncalvez_furtuna@gmail.com,52614598
Mariano Drumond Constantino,mariano.dc@gmail.com,43251678
Rita Furtado Andrade,rita123@gmail.com,48238978
André Juanito Meirelez,and_meirele@gmail.com,57315845
Juan de Costa e Silva,costa_e_silva@gmail.com,84624445
Humberto de souza Costa,desouza_costah@gmail.com,89457865
Maria Virgínia de Andrade Costa,virginia_mariaandrade@gmail.com,48352418
Carla Colombo Pimenta,cc_pimenta@gmail.com,85455438
